name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
リライト,3rb5K4Cw0GsLsgjcSYAP9K,54.0,ASIAN KUNG-FU GENERATION,0.499,0.935,-4.293,1,0.0434,0.000172,0.17,0.0487,0.557,https://p.scdn.co/mp3-preview/84be2c2d51a292d560554734935b269c625118ef?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2731ad7b6eb6b0410e10402edeb
Chinese Democracy,0zoK1L5JxJbyk7T2nw367B,54.0,Guns N' Roses,0.474,0.8,-10.472000000000001,1,0.0775,0.000769,0.0309,0.131,0.156,,https://i.scdn.co/image/ab67616d0000b273e29a351729da4d29214e54e2
Awake,0DrhapFEF5d9Yzg4v914dp,54.0,Jeremy Soule,0.17,0.146,-22.704,0,0.0415,0.9109999999999999,0.972,0.0729,0.0339,https://p.scdn.co/mp3-preview/34216a584a466ab76f93ce4f8890bba0678121b0?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2736d30303243e6bd56a5482e9b
Pasarela,4yORNsoYe4XnK99EXhKhWB,54.0,Daddy Yankee,0.8420000000000001,0.893,-4.277,1,0.0462,0.10400000000000001,0.0,0.289,0.713,,https://i.scdn.co/image/ab67616d0000b2730a4f62da41a91f955b2bf872
Doing Time,4OyfdJiHM6sbfkFmRLrygg,54.0,Avenged Sevenfold,0.433,0.9940000000000001,-6.004,1,0.0833,3.13e-05,0.0564,0.196,0.5329999999999999,https://p.scdn.co/mp3-preview/3fe589624abb53827dbe0472964080d09a8dabdb?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2730ea1ecb2d5271c2db402b0c2
Million Miles An Hour,76gvSn83c2iOIxV9GQkpZS,54.0,Nickelback,0.608,0.8809999999999999,-4.9030000000000005,0,0.0499,1.4400000000000001e-05,0.0254,0.138,0.41200000000000003,,https://i.scdn.co/image/ab67616d0000b2731e25fde2c52dbefd108e47ed
You Are My Lady,5MPxgVGxq79wcoNKtlRaTf,54.0,Freddie Jackson,0.7,0.254,-16.019000000000002,1,0.0429,0.46,0.0,0.1,0.408,,https://i.scdn.co/image/ab67616d0000b2738f39baeb3ca29aa69840ac9c
Sweater Weather - Spotify Sessions Curated by Jim Eno,7sDzAu7alAL1hWvL86tSGB,54.0,The Neighbourhood,0.61,0.165,-14.659,1,0.0502,0.981,0.000544,0.134,0.258,https://p.scdn.co/mp3-preview/bed9e182c4c5af6bf19fdb81ea491c974d8fd6f1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2731049338f43bf19d1d602aff6
Bailamos,2bbeNsFmjZqdoDhjLsKNWe,54.0,Enrique Iglesias,0.627,0.888,-4.523,0,0.0388,0.0528,0.00237,0.136,0.591,,https://i.scdn.co/image/ab67616d0000b273f3dc548292cbf807527b9309
Kiss Off,0Jf9d1BEYPcxK8NwGj194O,54.0,Violent Femmes,0.6609999999999999,0.662,-8.88,0,0.0931,0.255,0.0,0.131,0.825,https://p.scdn.co/mp3-preview/5ee750e2254f2d379e689e06331cc95fe50c7bc1?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ee2d785d228353845cff997f
Straight From The Heart,5eaK7PLGwyDXmHfTdWZZuE,54.0,Bryan Adams,0.5870000000000001,0.237,-18.465999999999998,1,0.0272,0.0766,0.0,0.139,0.366,,https://i.scdn.co/image/ab67616d0000b2732b25c31d78b73d003e1b2d6d
Kahit Maputi Na Ang Buhok Ko,7Lq3Lv6khoDcAyjGnwsg9F,54.0,REY VALERA,0.5710000000000001,0.387,-13.198,1,0.0256,0.723,0.0008810000000000001,0.131,0.39,https://p.scdn.co/mp3-preview/4e92bfd0fba35ea8b3eddd0cbd9ce82f0b42addd?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d786b31fb915ac805b1622fb
Wild World,3vYrrMpsebx3OJ1H5E1lWQ,54.0,Maxi Priest,0.763,0.35200000000000004,-11.789000000000001,1,0.0555,0.261,8.45e-05,0.0791,0.732,,https://i.scdn.co/image/ab67616d0000b273e55a77fbedbab33975b112f4
Think I'm In Love,6mJQe0vTIojlxwyMwwy6YR,54.0,Eddie Money,0.486,0.83,-10.815,1,0.037000000000000005,0.0104,0.000475,0.0635,0.652,https://p.scdn.co/mp3-preview/8d9c7cdbe5141df643e78e1219dec6035d69b8ce?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273d8b8b34eddf5cf382b729100
She's A Beauty - Remastered 1991,7HF88mJXq8DpotZohoW2mo,54.0,The Tubes,0.6890000000000001,0.789,-8.565,1,0.0359,0.0684,0.000516,0.297,0.631,,https://i.scdn.co/image/ab67616d0000b27300b238bf58c6cb131a979155
Brown Eyed Girl,2ICMnjBhI7xQhI6dV3Z78P,54.0,Jimmy Buffett,0.7240000000000001,0.6940000000000001,-12.889000000000001,1,0.0454,0.0702,0.000407,0.153,0.946,,https://i.scdn.co/image/ab67616d0000b2730bf8ea3f7755f12f7a45d90e
Équinoxe,37WtwAa4PzRprHMp7Esdds,54.0,C418,0.436,0.10099999999999999,-18.344,0,0.0342,0.919,0.391,0.0927,0.252,https://p.scdn.co/mp3-preview/ef9e71419e27dd6c6b7a20cdcd021d0b4ee0e3fd?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273aaeb5c9fb6131977995b7f0e
