,name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
20173,Whatsername,7HXtpmFjqt4Wv6T8y5lVz3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20174,Mo'murda,3u9pftbhkHKNti0U58q5j3,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20175,Bop,0VWPd2zYt1430jL6XtUjep,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20176,De Música Ligera,2WD9ggmpZE7Wodh3qVVCgg,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20177,My Savior My God,1syFMBjjRvL3uReOM8yWEb,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20178,Lose Control (feat. Ciara & Fat Man Scoop),1ulAlG3x3jWtCCK2SI4qyL,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20179,Lech,4V3E6xAnGspUos2Sx74w6n,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20180,Te Quiero Así,61kqdsD1xegRmPhdw1r95l,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20181,Fighting the World,2tjb6V24kf6sDUdEFNf3m9,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20182,Te Lloré,4wdsQ8HnMcQMBm4QWMOVjS,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20183,Body Head Anthem (feat. Mr. Magic & Choppa),4EcF55fGcfwbZhGM7K1yLA,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20184,You're Beautiful,0Wt0LiQPwDLEu6d1iH4b1k,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20185,Chocolate,3Kh58CfPsfIl8XkCEKWbNf,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20186,The Drop,51hSi1p7g2KdXg7fJA1Hgp,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
20187,Romeo + Juliet (arr. P. Bateman): Romeo and Juliet: The Balcony Scene (arr. P. Bateman for piano and orchestra),5FOHBhUtWl2x5Z6qflA8nd,54.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
