name,spotify_id,popularity,artist,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,preview,img
Higher Love,6oJ6le65B3SEqPwMRNXWjY,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Wow.,7xQAfvXzm3AkraOtGPWIZg,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Dream Girl - Remix,099tjv6oy2opbpCOA3nBwX,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hola - Remix,5stPVcRqb4qixbafP9e8lt,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Daylight,6Ed1q0X8oSKSm4IIhiQbYg,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
This City,3H3r2nKWa3Yk5gt8xgmsEt,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sucker,22vgEDb5hykfaTwLuskFGD,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Ransom,1lOe9qE0vR9zwWQAOk6CoO,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
LA CANCIÓN,0fea68AdmYNygeTGI4RC18,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Starboy,7MXVkk9YMctZqd1Srtv4MB,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Sofia,7B3z0ySL9Rr0XvZEAjWZzM,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
BOP,6Ozh9Ok6h4Oi1wUSLtBseN,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
the 1,0Jlcvv8IykzHaSmj49uNW8,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Rags2Riches 2 (feat. Lil Baby),0qJeyYAgv6UpvewUxRXAhb,83.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Callaita,2TH65lNHgvLxCKXM3apjxI,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
El Efecto,4SJHHpKhcuXwDsCsPqshXj,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Lights Up,4jAIqgrPjKLTY9Gbez25Qb,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Surrender,0ecC8p17cDNlxHXkuYqeR6,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Summer Of '69,0GONea6G2XdnHWjNZd6zt3,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Señorita,6v3KW9xbzN5yKLt9YKDYA2,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Happier,2RttW7RAu5nOAfq6YFvApB,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
El Efecto - Remix,74j34STf8L6uADnTN69ohv,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,82.0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
