name,spotify_id,popularity
El Efecto,4SJHHpKhcuXwDsCsPqshXj,82.0
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,82.0
Lights Up,4jAIqgrPjKLTY9Gbez25Qb,82.0
Surrender,0ecC8p17cDNlxHXkuYqeR6,82.0
Summer Of '69,0GONea6G2XdnHWjNZd6zt3,82.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,82.0
Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,82.0
El Efecto,4SJHHpKhcuXwDsCsPqshXj,82.0
Happier,2RttW7RAu5nOAfq6YFvApB,82.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,82.0
Story of My Life,4nVBt6MZDDP6tRVdQTgxJg,82.0
What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,82.0
El Efecto - Remix,74j34STf8L6uADnTN69ohv,82.0
Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,82.0
Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,82.0
High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,82.0
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,82.0
Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,82.0
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,82.0
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,82.0
All I Want,0NlGoUyOJSuSHmngoibVAs,82.0
Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,82.0
Sign of the Times,5Ohxk2dO5COHF1krpoPigN,82.0
i love you,6CcJMwBtXByIz4zQLzFkKc,82.0
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,82.0
Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,82.0
Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,82.0
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,82.0
El Efecto - Remix,74j34STf8L6uADnTN69ohv,82.0
ocean eyes,7hDVYcQq6MxkdJGweuCtl9,82.0
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,82.0
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,82.0
i love you,6CcJMwBtXByIz4zQLzFkKc,82.0
forget me too (feat. Halsey),1VSuFS7PahCN3SWbOcQ98m,82.0
Surrender,0ecC8p17cDNlxHXkuYqeR6,82.0
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,82.0
I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,82.0
Callaita,2TH65lNHgvLxCKXM3apjxI,82.0
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,82.0
Lights Up,4jAIqgrPjKLTY9Gbez25Qb,82.0
Roses - Imanbek Remix,2Wo6QQD1KMDWeFkkjLqwx5,82.0
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,82.0
Without Me,7lQ8MOhq6IN2w8EYcFNSUk,82.0
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,82.0
Silence,7vGuf3Y35N4wmASOKLUVVU,82.0
Life's A Mess (feat. Halsey),5wWAwzGp2OaaoIkwcz6wZs,82.0
Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,82.0
Señorita,6v3KW9xbzN5yKLt9YKDYA2,82.0
Yellow,3AJwUDP919kvQ9QcozQPxg,82.0
BLIND (feat. Young Thug),2T5NBwKRySiCR78vVk08vr,82.0
20 Min,0uxSUdBrJy9Un0EYoBowng,82.0
Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,82.0
Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,82.0
GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,82.0
I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,82.0
I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,82.0
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,82.0
Girls in the Hood,6WbTTAGKrQtCQvmc5BuYfh,82.0
HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,82.0
Let You Down,52okn5MNA47tk87PeZJLEL,82.0
Like That (feat. Gucci Mane),4EivmOT13NMpNSfTKn9p4s,82.0
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,82.0
Blastoff (feat. Juice Wrld & Trippie Redd),2rFsFjq0D9JAmc0APpCO6P,82.0
Lalala,51Fjme0JiitpyXKuyQiCDo,82.0
Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,82.0
Look At Me!,7floNISpH8VF4z4459Qo18,82.0
Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,82.0
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,82.0
High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,82.0
Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,82.0
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,82.0
Lalala,51Fjme0JiitpyXKuyQiCDo,82.0
Hold On,5vjLSffimiIP26QG5WcN2K,82.0
Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,82.0
SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,81.0
Chanel,6Nle9hKrkL1wQpwNfEkxjh,81.0
7 Summers,0tbjiOUl4k492KPdWZS9sy,81.0
I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,81.0
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,81.0
The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,81.0
you were good to me,4CxFN5zON70B3VOPBYbd6P,81.0
Fantasias,6mAN61JH0dzyZpWslS11jy,81.0
F.N,0RLLvYBopDwooCyvnTwgYu,81.0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,81.0
夜に駆ける,3dPtXHP0oXQ4HCWHsOA9js,81.0
Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,81.0
Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,81.0
CITY OF ANGELS,6ap9lSRJ0iLriGLqoJ44cq,81.0
Heathens,6i0V12jOa3mr6uu4WYhUBr,81.0
Con Calma,5w9c2J52mkdntKOmRLeM2m,81.0
I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,81.0
"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3,81.0
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,81.0
SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,81.0
Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,81.0
Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,81.0
Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,81.0
F.N,0RLLvYBopDwooCyvnTwgYu,81.0
One Dance,1zi7xx7UVEFkmKfv06H8x0,81.0
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,81.0
China,2ksOAxtIxY8yElEWw8RhgK,81.0
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,81.0
Train Wreck,55Am8neGJkdj2ADaM3aw5H,81.0
Redbone,0wXuerDYiBnERgIpbb3JBR,81.0
Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,81.0
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,81.0
Feel Good Inc.,0d28khcov6AiegSCpG5TuT,81.0
Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,81.0
Fix You,7LVHVU3tWfcxj5aiPFEW4Q,81.0
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,81.0
Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,81.0
The Nights,0ct6r3EGTcMLPtrXHDvVjc,81.0
Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb,81.0
Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,81.0
Dance Monkey,5ZULALImTm80tzUbYQYM9d,81.0
There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,81.0
